geoid,number,income
250250006021,1,low
250250007014,1,low
250250007015,1,low
250250008024,2,low
250250008025,1,low
250250101043,1,low
250250102031,1,low
250250102042,2,low
250250104031,1,low
250250104032,1,low
250250104041,1,low
250250104042,1,low
250250104081,2,low
250250105003,1,low
250250106002,1,low
250250108012,1,high
250250108021,1,high
250250108022,1,high
250250201014,1,high
250250202002,2,low
250250202003,3,low
250250203011,1,low
250250203021,1,low
250250203032,1,high
250250301002,2,high
250250303001,1,high
250250303003,1,high
250250303004,1,high
250250401002,2,high
250250403003,1,high
250250403005,1,low
250250406001,4,high
250250408011,1,low
250250501011,3,low
250250501012,1,low
250250502001,1,low
250250502002,1,low
250250502003,1,low
250250503001,2,low
250250504002,1,low
250250506002,1,high
250250507003,1,low
250250510001,1,low
250250512001,1,high
250250512002,2,low
250250512003,1,low
250250601013,2,low
250250604001,1,low
250250605011,1,high
250250605012,1,low
250250605013,1,low
250250606001,3,high
250250608004,1,high
250250611012,1,low
250250612002,1,low
250250701018,1,high
250250702001,1,low
250250705003,1,low
250250709002,1,low
250250712011,1,high
250250801001,1,low
250250804012,1,low
250250808011,1,low
250250809002,1,low
250250810011,1,low
250250810013,1,low
250250811002,1,low
250250811003,1,low
250250813002,2,low
250250817003,1,low
250250817005,1,low
250250818003,1,low
250250819003,1,low
250250820001,1,low
250250820003,1,low
250250821002,1,low
250250902003,1,low
250250904002,1,low
250250906001,1,low
250250907001,1,low
250250909012,1,low
250250910014,2,low
250250911003,1,low
250250914002,1,low
250250916001,1,low
250250917001,1,low
250250918001,1,low
250250919002,1,low
250250921015,1,low
250250922002,1,high
250250922004,1,low
250251001002,1,low
250251001004,1,low
250251001007,1,low
250251002002,1,low
250251002003,1,low
250251003003,2,low
250251003004,1,low
250251006013,1,low
250251006031,1,low
250251007004,1,low
250251008006,2,low
250251010011,1,low
250251010012,1,low
250251010022,1,low
250251011022,1,low
250251101032,1,low
250251103012,1,low
250251104012,1,low
250251105021,1,low
250251201042,1,low
250251202012,1,low
250251203013,2,low
250251203014,1,low
250251204003,1,low
250251206002,1,low
250251301002,1,low
250251302002,1,low
250251303004,1,low
250251304023,2,low
250251304025,1,high
250251304062,1,low
250251401051,1,low
250251401071,2,low
250251402022,1,low
250251403006,1,low
250251404005,1,high
250251404007,1,high
250251601012,1,low
250251601014,2,low
250251603001,1,low
250251605021,1,low
250251605022,1,low
250251606012,2,low
250251701001,1,low
250251701002,1,low
250251701006,2,low
250251701007,1,low
250251702002,1,low
250251702004,1,low
250251703001,1,low
250251703002,2,low
250251703004,1,low
250251703005,1,low
250251704001,1,low
250251704004,1,low
250251705011,1,low
250251706011,1,low
250251706012,2,low
250251707022,1,low
250251708001,1,low
250251708002,1,low
250251708003,1,low
250251801011,1,low
250251801013,2,low
250251802002,1,low
250251803011,1,low
250251805001,1,low
250259807001,1,low
250259813002,2,low
